NPGO index,Date
-0.42822716,196305
0.27190132,196405
-1.1591951,196505
-1.678718,196605
-0.99509831,196705
-1.2594507,196805
-0.090880893,196905
0.48417772,197005
0.49495693,197105
-0.74738833,197205
0.25466121,197305
-0.16634801,197405
0.71586507,197505
2.1807639,197605
1.0719304,197705
0.5867699,197805
-0.78180605,197905
-0.21080144,198005
0.19965579,198105
-0.99310639,198205
-0.74396599,198305
0.98165596,198405
0.15633692,198505
-0.49841159,198605
0.27433927,198705
1.7784138,198805
0.58351058,198905
-0.096055435,199005
-0.059529254,199105
-1.7956172,199205
-1.0894275,199305
-0.30135894,199405
-1.5042438,199505
-1.2747659,199605
-0.87719416,199705
0.27758158,199805
1.6045933,199905
2.220292,200005
1.9538953,200105
1.102573,200205
0.9192588,200305
0.20735337,200405
-0.78952824,200505
-0.12194259,200605
0.69161135,200705
1.7381006,200805
0.55442008,200905
1.8660236,201005
1.3947862,201105
1.6274147,201205
0.85171232,201305
0.22783033,201405
-0.71954145,201505
-0.68192827,201605
-0.45770927,201705
-1.9215388,201805
-1.757574,201905
-0.58098428,195006
-1.4352384,195106
-0.97265631,195206
1.056728,195306
0.17838068,195406
-0.015894133,195506
0.47106723,195606
-1.1681711,195706
-0.72342443,195806
-0.37320207,195906
0.31314454,196006
1.2018429,196106
-0.30441143,196206
-0.71623806,196306
0.88409534,196406
-0.83030121,196506
-1.2637274,196606
-1.252485,196706
-1.0381912,196806
-0.77551688,196906
0.37084586,197006
0.41262019,197106
-0.7609987,197206
0.51442802,197306
0.21918141,197406
0.45778814,197506
2.0671275,197606
0.92382978,197706
0.38409043,197806
-0.82272109,197906
-0.68274075,198006
0.008819323,198106
-0.8476034,198206
-0.076887309,198306
0.73748025,198406
-0.044718164,198506
-0.66585381,198606
0.39440557,198706
1.7426903,198806
0.5221062,198906
-0.065433778,199006
-0.38776968,199106
-1.3506516,199206
-1.6821039,199306
-0.61160343,199406
-1.0479894,199506
-1.0600342,199606
-0.93839334,199706
0.11902247,199806
1.9053233,199906
2.1020662,200006
2.349303,200106
1.6053913,200206
0.77769152,200306
0.77647507,200406
-1.2838288,200506
-0.12747487,200606
1.2322548,200706
1.2784121,200806
0.36989138,200906
1.2382043,201006
1.1129413,201106
1.938326,201206
0.72592328,201306
-0.41683559,201406
-1.2491977,201506
-0.95777129,201606
-0.2945526,201706
-1.934415,201806
-1.9872847,201906
-0.74211428,195007
-1.1039251,195107
-1.3356465,195207
1.0407542,195307
-0.035203404,195407
-0.088022544,195507
0.4639145,195607
-0.75587754,195707
-0.86964646,195807
-0.39649446,195907
0.70915221,196007
1.0626986,196107
-0.062123467,196207
-0.36669314,196307
1.6039742,196407
-0.69218264,196507
-1.1138805,196607
-1.1731513,196707
-1.0214287,196807
-0.73089032,196907
0.27240294,197007
0.79092532,197107
-0.32239863,197207
0.32357245,197307
0.37670197,197407
0.51100819,197507
2.2670345,197607
1.0368123,197707
0.42586012,197807
-1.1482481,197907
-0.9904321,198007
-0.52605658,198107
-0.61058107,198207
-0.04863779,198307
